Men's Kata;Kata (H);
Men's Kumite -67kg;Kumité -67kg (H);
Men's Kumite -75kg;Kumité -75kg (H);
Men's Kumite +75kg;Kumité +75kg (H);
Women's Kata;Kata (F);
Women's Kumite -55kg;Kumité -55kg (F);
Women's Kumite -61kg;Kumité -61kg (F);
Women's Kumite +61kg;Kumité +61kg (F);
Men's Lacrosse;Lacrosse (H);
Men's 10km;10km (H);
Women's 10km;10km (F);
Mixed A-Class (Open);Classe A mixte (ouvert);
Mixed B-Class (Under 60 Feet);Classe B mixte (sous 60 pieds);
Mixed C-Class;Classe C mixte;
Men's Polo;Polo (H);
Women's Group;Groupe des (F);
Lightweight Men's Double Sculls;Deux de Couple Poids Légers (H);
Lightweight Women's Double Sculls;Deux de Couple Poids Léger (F);
Men's Double Sculls;Deux de Couple (H);
Men's Eight;Huit (H);
Men's Four;Quatre sans Barreur (H);
Men's Pair;Deux sans Barreur (H);
Men's Quadruple Sculls;Quatre de Couple (H);
Men's Single Sculls;Skiff (H);
Women's Double Sculls;Deux de Couple (F);
Women's Eight;Huit (F);
Women's Four;Quatre sans Barreur (F);
Women's Pair;Deux sans Barreur (F);
Women's Quadruple Sculls;Quatre de Couple (F);
Women's Single Sculls;Skiff (F);
eight with coxswain 8 men;Huit (H);
Men's Coxed Eights;Huit (H);
Men's Coxed Fours;Quatre (H);
Men's Coxed Fours, Inriggers;Quatre (H), Finale 1;
Men's Coxed Fours, Outriggers;Quatre (H), Finale 2;
Men's Coxed Pairs;Deux (H);
Men's Coxed Pairs (1 kilometres);Deux (H) (1 kilomètres);
Men's Coxed Pairs (1 mile);Deux (H) (1 mile);
Men's Coxless Fours;Quatre sans barreur (H);
Men's Coxless Pairs;Deux sans barreur (H);
Men's Lightweight Coxless Fours;Quatre sans barreur léger (H);
Men's Lightweight Double Sculls;Deux de couple léger (H);
Women's Coxed Eights;Huit (F);
Women's Coxed Fours;Quatre (F);
Women's Coxed Quadruple Sculls;Quatre de couple (F);
Women's Coxless Fours;Quatre sans barreur (F);
Women's Coxless Pairs;Deux sans barreur (F);
Women's Lightweight Double Sculls;Deux de couple léger (F);
Men's 17-Man Naval Rowing Boats;Aviron naval 17 (H) (H);
Men's 6-Man Naval Rowing Boats;Aviron naval 6 (H) (H);
Rugby men;Rugby (H);
Men's Rugby;Rugby (H);
Men's Rugby Sevens;Rugby à 7 (H);
Women's Rugby Sevens;Rugby à 7 (F);
470 Men;470 (H);
470 Women;470 (F);
49er FX Women;49er FX (F);
49er Men;49er (H);
Finn Men;Finn (H);
Laser Men;Laser (H);
Laser Radial Women;Laser Radial (F);
Nacra 17 Mixed;Nacra 17 Mixte;
RS:X Men;RS:X (H);
RS:X Women;RS:X (F);
Mixed 20+ Ton;+ 20t mixte;
Mixed 0-0.5 Ton;0-0.5t mixte;
Mixed 0.5-1 Ton;0.5-1t mixte;
0.5t mixed, race one;0.5t mixte, première course;
0.5t mixed, race two;0.5t mixte, deuxième course;
1-2 Ton Race One Open;1-2 Ton Race One Open;
Mixed 1-2 Ton;1-2t mixte;
Mixed 10-20 Ton;10-20t mixte;
2-3 Ton Race Two Open;2-3 Ton Race Two Open;
Mixed 2-3 Ton;2-3t mixte;
3-10 Ton Race One Open;3-10 Ton Race One Open;
Mixed 3-10 Ton;3-10t mixte;
open class mixed;Mixte toutes catégories;
Mixed 10 metres;Mixte 10 metres;
Mixed 12 foot;Mixte 12 foot;
Mixed 12 metres;Mixte 12 metres;
Mixed 18 foot;Mixte 18 foot;
Mixed 30 metres;Mixte 30 metres;
Mixed 40 metres;Mixte 40 metres;
Mixed 5.5 metres;Mixte 5.5 metres;
Mixed 6 metres;Mixte 6 metres;
Mixed 6.5 metres;Mixte 6.5 metres;
Mixed 7 metres;Mixte 7 metres;
Mixed 8 metres;Mixte 8 metres;
Men's One Person Dinghy;Dinghy 1 personne (H);
Men's One Person Heavyweight Dinghy;Dinghy lourd 1 personne (H);
Men's Skiff;Skiff (H);
Men's Two Person Dinghy;Dinghy 2 personnes (H);
Men's Two Person Keelboat;Keelboat 2 Personnes (H);
Men's Windsurfer;Planche à voile (H);
Mixed Multihull;Mixte multicoques;
Mixed One Person Dinghy;Dinghy mixte 1 personne;
Mixed Open;Mixte libre;
Mixed Skiff;Mixte Skiff;
Mixed Three Person Keelboat;Keelboat mixte 3 Personnes;
Mixed Two Person Dinghy;Dinghy mixte 2 Personnes;
Mixed Two Person Heavyweight Dinghy;Dinghy lourd mixte 2 Personnes;
Mixed Two Person Keelboat;Keelboat mixte 2 Personnes;
Mixed Windsurfer;Planche à voile mixte;
Women's One Person Dinghy;Dinghy 1 personne (F);
Women's Skiff;Skiff (F);
Women's Three Person Keelboat;Keelboat, 3 Personnes (F);
Women's Two Person Dinghy;Dinghy, 2 personnes (F);
Women's Windsurfer;Planche à voile (F);
10m Air Pistol Mixed Team;Pistolet Air Comprimé 10 mètres Équipe Mixte;
Women's Air Pistol, 10 metres;Pistolet Air 10 mètres femme;
10m Air Rifle Mixed Team;Carabine Air Comprimé 10 mètres Équipe Mixte;
Women's Air Rifle, 10 metres;Carabine Air 10 mètres femme;
25m Pistol Women;Pistolet 25 mètres (F);
25m Rapid Fire Pistol Men;Pistolet Tir Rapide 25 mètres (H);
50m Rifle 3 Positions Men;Carabine 50 mètres 3 Positions (H);
50m Rifle 3 Positions women;Carabine 50 mètres 3 Positions (F);
Men's Skeet;Skeet (H);
Men's Trap;Trap (H);
Men's Trap, Team;Trap, par équipe (H);
Men's Trap, Double Shot, 14 metres;Trap, 2 coups, 14 mètres (H);
Men's Trap, Single Shot, 16 metres;Trap, 1 coup, 16 mètres (H);
Men's Unknown Event;Evènement inconnu (H),;
Women's Skeet;Skeet (F);
Women's Trap;Trap (F);
Women's Double Trap;Double Trap (F);
Mixed Trap;Équipe Mixte Trap;
Mixed Skeet;Équipe Mixte Skeet;
Mixed Free Pistol, 50 metres;Équipe Mixte Pistolet, 50 mètres;
Mixed Free Rifle, Three Positions, 300 metres;Équipe Mixte Carabine, 3 positions, 300 mètres;
Mixed Rapid-Fire Pistol, 25 metres;Équipe Mixte Pistolet tir rapide, 25 mètres;
Mixed Running Target, 50 metres;Équipe Mixte cible mouvante, 50 mètres;
Mixed Small-Bore Rifle, Prone, 50 metres;Équipe Mixte Carabine Small-Bore, couché, 50 mètres;
Mixed Small-Bore Rifle, Three Positions, 50 metres;Équipe Mixte Carabine Small-Bore, 3 Positions, 50 mètres;
